unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid
LN-428,NA,LN-428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,NA
LN-443,NA,LN-443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,NA
LN-464,NA,LN-464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,NA
LN382,NA,LN382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA
LNCAP,NA,NA,NA,NA,LNCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prostate,NA,NA,NA,NA,NA,prostate,prostate,NA,NA,NA
LNCaP-Clone-FGC,LNCaP-Clone-FGC,LNCaP clone FGC,LNCAP,NA,NA,NA,LNCaP-Clone-FGC,LNCaP_clone_FGC,LNCaP-Clone-FGC,NA,LNCAPCLONEFGC,LNCAP clone FGC,LNCaP-Clone-FGC,prostate,prostate,prostate,NA,NA,NA,prostate,prostate,urogenital_system ,NA,prostate,prostate,prostate,Prostate,prostate
LNZ308,NA,LNZ308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA
LNZTA3WT4,NA,NA,NA,NA,NA,NA,LNZTA3WT4,NA,LNZTA3WT4,NA,NA,NA,LNZTA3WT4,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,central_nervous_system
LOU-NH91,NA,LOU-NH91,NA,NA,LOU-NH91,NA,LOU-NH91,LOU-NH91,LOU-NH91,NA,LOUNH91,NA,LOU-NH91,NA,lung,NA,NA,Lung,NA,Lung:NSCLC,lung,NA,NA,NA,lung,lung,NA,lung
LOUCY,LOUCY,Loucy,NA,NA,NA,NA,LOUCY,Loucy,LOUCY,NA,NA,NA,LOUCY,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
LoVo,LoVo,LoVo,NA,NA,LoVo,LOVO,LoVo,LoVo,LoVo,NA,LOVO,LoVo,LoVo,large_intestine,large_intestine,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,digestive_system ,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine
LOXIMVI,LOXIMVI,LOX IMVI,LOXIMVI,NA,LOX-IMVI,NA,LOXIMVI,LOX_IMVI,LOXIMVI,NA,LOXIMVI,LOX-IMVI,LOXIMVI,haematopoietic_and_lymphoid_tissue,skin,skin,NA,Skin,NA,Skin,haematopoietic_and_lymphoid_tissue,skin ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,skin,Skin,haematopoietic_and_lymphoid_tissue
LP-1,LP-1,LP-1,NA,NA,LP-1,LP1,LP-1,LP-1,LP-1,NA,LP1,LP-1,LP-1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,Blood,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue
LS 180,NA,LS 180,NA,NA,LS 180,LS180,LS-180,LS_180,LS-180,NA,LS180,NA,LS-180,NA,large_intestine,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,NA,NA,NA,large_intestine,large_intestine,NA,large_intestine
LS-1034,LS-1034,LS1034,LS1034,NA,LS1034,NA,LS-1034,LS1034,LS-1034,NA,LS1034,LS1034,LS-1034,large_intestine,large_intestine,colon,NA,Cecum,NA,Intestine,large_intestine,digestive_system ,NA,large_intestine,large_intestine,large_intestine,Unclassified,large_intestine
LS-123,LS-123,LS123,NA,NA,NA,LS123,LS-123,LS123,LS-123,NA,LS123,NA,LS-123,large_intestine,large_intestine,NA,NA,NA,LARGE_INTESTINE,Intestine,large_intestine,digestive_system ,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine
LS-174T,LS-174T,NA,LS174T,NA,LS 174T,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,NA,colon,NA,Colon,NA,NA,NA,NA,NA,large_intestine,large_intestine,NA,NA,NA
LS-411N,LS-411N,LS411N,NA,NA,NA,LS411N,LS-411N,LS411N,LS-411N,NA,LS411N,NA,LS-411N,large_intestine,large_intestine,NA,NA,NA,LARGE_INTESTINE,Intestin,large_intestine,digestive_system ,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine
LS-513,LS-513,LS513,NA,NA,NA,LS513,LS-513,LS513,LS-513,NA,LS513,NA,LS-513,large_intestine,large_intestine,NA,NA,NA,LARGE_INTESTINE,Intestine,large_intestine,digestive_system ,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine
LU-134-A,LU-134-A,NA,NA,NA,NA,NA,LU-134-A,NA,LU-134-A,NA,NA,NA,LU-134-A,lung,NA,NA,NA,NA,NA,Lung,NA,lung ,NA,lung,lung,NA,NA,lung
LU-135,LU-135,NA,NA,NA,NA,NA,LU-135,NA,LU-135,NA,NA,NA,LU-135,lung,NA,NA,NA,NA,NA,Lung,NA,lung ,NA,lung,lung,NA,NA,lung
LU-139,LU-139,NA,NA,NA,NA,NA,LU-139,NA,LU-139,NA,NA,NA,LU-139,lung,NA,NA,NA,NA,NA,Lung,NA,lung ,NA,lung,lung,NA,NA,lung
LU-165,LU-165,NA,NA,NA,NA,NA,LU-165,NA,LU-165,NA,NA,NA,LU-165,lung,NA,NA,NA,NA,NA,Lung,NA,lung ,NA,lung,lung,NA,NA,lung
LU-65,LU-65,LU65,NA,NA,NA,LU65,LU-65,LU65,LU-65,NA,LU65,NA,LU-65,lung,lung,NA,NA,NA,LUNG,Lung:NSCLC,lung,lung ,NA,lung,lung,lung,NA,lung
LU-99A,LU-99A,LU99,NA,NA,NA,LU99,LU-99A,LU99,NA,NA,LU99,NA,LU-99A,lung,lung,NA,NA,NA,LUNG,Lung:NSCLC,lung,NA,NA,lung,lung,lung,NA,lung
LUDLU-1,NA,LUDLU-1,NA,NA,NA,NA,NA,LUDLU-1,NA,NA,LUDLU1,NA,NA,NA,lung,NA,NA,NA,NA,NA,lung,NA,NA,lung,lung,lung,NA,NA
LXF-289,LXF-289,LXF-289,NA,NA,LXF-289,LXF289,LXF-289,LXF-289,LXF-289,NA,LXF289,LXF-289,LXF-289,lung,lung,NA,NA,Lung,LUNG,Lung,lung,lung ,NA,lung,lung,lung,Lung,lung
LXFL529,NA,NA,NA,NA,LXFL529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA
LY2,NA,NA,NA,LY2,NA,NA,NA,NA,NA,ly2,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA
M-07e,NA,M-07e,NA,NA,NA,NA,NA,M-07e,NA,NA,M07E,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA
M00921,NA,NA,NA,NA,NA,NA,M00921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,skin,NA,NA,skin
M059J,M059J,M059J,NA,NA,M059J,NA,M059J,NA,M059J,NA,NA,NA,M059J,central_nervous_system,NA,NA,NA,Brain,NA,central_nervous_system,NA,nervous_system ,NA,central_nervous_system,central_nervous_system,NA,NA,central_nervous_system
M059K,NA,M059K,NA,NA,M059K,NA,M059K,M059K,NA,NA,M059K,NA,NA,NA,central_nervous_system,NA,NA,Brain,NA,Brain,central_nervous_system,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system
M14,M14,NA,M14,NA,NA,NA,M14,NA,M14,NA,NA,NA,M14,haematopoietic_and_lymphoid_tissue,NA,skin,NA,NA,NA,Skin,NA,skin ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
M980513,NA,NA,NA,NA,NA,NA,M980513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,skin,NA,NA,skin
MA-CLS-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,macls2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA
Malme-3M,Malme-3M,Malme-3M,MALME3M,NA,NA,NA,NA,Malme-3M,NA,NA,MALME3M,Malme-3M,NA,haematopoietic_and_lymphoid_tissue,skin,skin,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,skin,Skin,NA
MB 157,NA,MB 157,NA,MB157,NA,NA,NA,NA,NA,mb157,NA,NA,MB 157,NA,breast,NA,breast,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,breast
MC-1010,MC-1010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
MC-CAR,MC-CAR,NA,MCCAR,NA,NA,NA,MC-CAR,NA,NA,NA,NA,NA,MC-CAR,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
MC-IXC,MC-IXC,NA,MCIXC,NA,NA,NA,NA,NA,MC-IXC,NA,NA,MC-IXC,MC-IXC,autonomic_ganglia,NA,central_nervous_system,NA,NA,NA,NA,NA,nervous_system ,NA,autonomic_ganglia,autonomic_ganglia,NA,Brain,autonomic_ganglia
MC116,MC116,MC116,MC116,NA,MC116,MC116,MC116,MC116,MC116,NA,MC116,MC116,MC116,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,Lymph Node,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue
MCAS,NA,MCAS,NA,NA,MCAS,NA,NA,MCAS,MCAS,NA,MCAS,MCAS,NA,NA,ovary,NA,NA,Ovary,NA,NA,ovary,NA,NA,ovary,ovary,ovary,Ovary,ovary
MCC13,NA,NA,NA,NA,NA,NA,NA,NA,MCC13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,skin,NA,NA,skin
MCC26,NA,NA,NA,NA,NA,NA,NA,NA,MCC26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,skin,NA,NA,skin
MCF10A,NA,NA,MCF10A,MCF10A,MCF 10A,NA,NA,NA,NA,mcf10a,NA,NA,NA,NA,NA,breast,breast,Breast,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA
MCF10DCIS.com,NA,NA,NA,NA,MCF10DCIS.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
MCF10F,NA,NA,NA,MCF10F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
MCF12A,NA,NA,NA,MCF12A,NA,NA,NA,NA,NA,mcf12a,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA
MCF7,MCF7,MCF7,MCF7,MCF7,MCF-7,MCF7,MCF7,MCF7,MCF7,mcf7,MCF7,MCF-7,MCF7,breast,breast,breast,breast,Breast,BREAST,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
MDA PCa 2b,NA,MDA PCa 2b,NA,NA,NA,NA,NA,MDA_PCa_2b,NA,NA,NA,NA,NA,NA,prostate,NA,NA,NA,NA,NA,prostate,NA,NA,NA,prostate,NA,NA,NA
MDA-MB-134-VI,MDA-MB-134-VI,MDA-MB-134-VI,NA,MDAMB134VI,MDA-MB-134-VI,NA,MDA-MB-134-VI,MDA-MB-134-VI,NA,mdamb134vi,NA,NA,NA,breast,breast,NA,breast,Breast,NA,breast,breast,NA,breast,breast,breast,NA,NA,breast
MDA-MB-157,MDA-MB-157,MDA-MB-157,NA,MDAMB157,MDA-MB-157,NA,MDA-MB-157,MDA-MB-157,MDA-MB-157,mdamb157,MDAMB157,MDA-MB-157,MDA-MB-157,breast,breast,NA,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
MDA-MB-175-VII,MDA-MB-175-VII,MDA-MB-175-VII,MDAMB175VII,MDAMB175VII,MDA-MB-175-VII,NA,NA,MDA-MB-175-VII,MDA-MB-175-VII,mdamb175vii,NA,MDA-MB-175-VII,MDA-MB-175-VII,breast,breast,breast,breast,Breast,NA,NA,breast,breast ,breast,breast,breast,NA,Breast,breast
MDA-MB-231,MDA-MB-231,MDA-MB-231,MDAMB231,MDAMB231,MDA-MB-231,NA,MDA-MB-231,MDA-MB-231,MDA-MB-231,mdamb231,MDAMB231,MDA-MB-231,MDA-MB-231,breast,breast,breast,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
MDA-MB-330,NA,NA,NA,NA,MDA-MB-330,NA,MDA-MB-330,NA,MDA-MB-330,mdamb330,NA,NA,MDA-MB-330,NA,NA,NA,NA,Breast,NA,Breast,NA,NA,breast,breast,breast,NA,NA,breast
MDA-MB-361,MDA-MB-361,MDA-MB-361,NA,MDAMB361,MDA-MB-361,NA,MDA-MB-361,MDA-MB-361,MDA-MB-361,mdamb361,MDAMB361,NA,MDA-MB-361,breast,breast,NA,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,NA,breast
MDA-MB-415,MDA-MB-415,MDA-MB-415,NA,MDAMB415,MDA-MB-415,NA,MDA-MB-415,MDA-MB-415,MDA-MB-415,mdamb415,MDAMB415,NA,MDA-MB-415,breast,breast,NA,breast,Breast,NA,breast,breast,breast ,breast,breast,breast,breast,NA,breast
MDA-MB-435,MDA-MB-435,MDA-MB-435S,MDAMB435,NA,MDA-MB-435,NA,NA,MDA-MB-435S,NA,NA,MDAMB435S,NA,NA,haematopoietic_and_lymphoid_tissue,skin,skin,NA,Skin,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,skin,NA,NA
MDA-MB-436,NA,MDA-MB-436,NA,MDAMB436,MDA-MB-436,NA,MDA-MB-436,MDA-MB-436,NA,mdamb436,NA,MDA-MB-436,MDA-MB-436,NA,breast,NA,breast,Breast,NA,breast,breast,NA,breast,breast,breast,NA,Breast,breast
MDA-MB-453,MDA-MB-453,MDA-MB-453,MDAMB453,MDAMB453,MDA-MB-453,NA,MDA-MB-453,MDA-MB-453,MDA-MB-453,mdamb453,MDAMB453,MDA-MB-453,MDA-MB-453,breast,breast,breast,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
MDA-MB-468,MDA-MB-468,MDA-MB-468,MDAMB468,MDAMB468,MDA-MB-468,NA,MDA-MB-468,MDA-MB-468,MDA-MB-468,mdamb468,MDAMB468,MDA-MB-468,MDA-MB-468,breast,breast,breast,breast,Breast,NA,breast,breast,breast ,breast,breast,breast,breast,Breast,breast
MDST8,NA,MDST8,NA,NA,MDST8,MDST8,MDST8,MDST8,MDST8,NA,MDST8,NA,MDST8,NA,large_intestine,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine
ME-1,NA,ME-1,NA,NA,ME-1,NA,ME-1,ME-1,ME-1,NA,ME1,NA,ME-1,NA,haematopoietic_and_lymphoid_tissue,NA,NA,Bone Marrow,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
ME-180,ME-180,NA,NA,NA,ME-180,NA,ME-180,NA,ME-180,NA,NA,ME-180,ME-180,cervix,NA,NA,NA,Cervix,NA,Cervix,NA,urogenital_system ,NA,cervix,cervix,NA,Cervix,cervix
MEC-1,NA,MEC-1,MEC1,NA,NA,NA,MEC-1,MEC-1,NA,NA,MEC1,NA,NA,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
MEC-2,NA,MEC-2,NA,NA,NA,NA,MEC-2,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
MEG-01,MEG-01,MEG-01,MEG01,NA,NA,NA,MEG-01,MEG-01,MEG-01,NA,NA,NA,MEG-01,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
MEL-HO,MEL-HO,MEL-HO,NA,NA,MEL-HO,NA,MEL-HO,MEL-HO,MEL-HO,NA,MELHO,MEL-HO,MEL-HO,skin,skin,NA,NA,Skin,NA,Skin,skin,skin ,NA,skin,skin,skin,Skin,skin
MEL-JUSO,MEL-JUSO,MEL-JUSO,NA,NA,NA,NA,MEL-JUSO,MEL-JUSO,MEL-JUSO,NA,MELJUSO,MEL-JUSO,MEL-JUSO,skin,skin,NA,NA,NA,NA,Skin,skin,skin ,NA,skin,skin,skin,Skin,skin
MES-SA,MES-SA,MES-SA,MESSA,NA,NA,NA,MES-SA,MES-SA,MES-SA,NA,MESSA,MES-SA,MES-SA,endometrium,soft_tissue,uterus,NA,NA,NA,Uterus,endometrium,urogenital_system ,NA,endometrium,endometrium,soft_tissue,Uterus,endometrium
MET-2B,NA,NA,NA,NA,NA,NA,MET-2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,skin,NA,NA,skin
Mewo,Mewo,MeWo,NA,NA,MeWo,NA,Mewo,MeWo,Mewo,NA,MEWO,MeWo,Mewo,skin,skin,NA,NA,Skin,NA,Skin,skin,skin ,NA,skin,skin,skin,Skin,skin
MFE-280,MFE-280,MFE-280,NA,NA,NA,NA,MFE-280,MFE-280,MFE-280,NA,NA,NA,MFE-280,endometrium,endometrium,NA,NA,NA,NA,Uterus,endometrium,urogenital_system ,NA,endometrium,endometrium,NA,NA,endometrium
MFE-296,MFE-296,MFE-296,NA,NA,NA,NA,MFE-296,MFE-296,NA,NA,MFE296,NA,MFE-296,endometrium,endometrium,NA,NA,NA,NA,endometrium,endometrium,NA,NA,endometrium,endometrium,endometrium,NA,endometrium
MFE-319,NA,MFE-319,NA,NA,NA,MFE319,MFE-319,MFE-319,NA,NA,MFE319,NA,MFE-319,NA,endometrium,NA,NA,NA,ENDOMETRIUM,Uterus,endometrium,NA,NA,endometrium,endometrium,endometrium,NA,endometrium
MFH-ino,MFH-ino,NA,NA,NA,NA,NA,MFH-ino,NA,MFH-ino,NA,NA,NA,MFH-ino,soft_tissue,NA,NA,NA,NA,NA,Misc,NA,soft_tissue ,NA,soft_tissue,soft_tissue,NA,NA,soft_tissue
MFM-223,MFM-223,NA,NA,MFM223,MFM-223,NA,MFM-223,NA,MFM-223,mfm223,NA,MFM-223,MFM-223,breast,NA,NA,breast,Breast,NA,Breast,NA,breast ,breast,breast,breast,NA,Breast,breast
MG-63,MG-63,MG-63,MG63,NA,MG-63,NA,MG-63,MG-63,MG-63,NA,MG63,MG-63,MG-63,bone,bone,bone,NA,Bone,NA,Bone,bone,bone ,NA,bone,bone,bone,Bone,bone
MHH-CALL-2,MHH-CALL-2,MHH-CALL-2,NA,NA,NA,NA,MHH-CALL-2,MHH-CALL-2,MHH-CALL-2,NA,NA,NA,MHH-CALL-2,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
MHH-CALL-3,NA,MHH-CALL-3,NA,NA,NA,NA,NA,MHH-CALL-3,NA,NA,MHHCALL3,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA
MHH-CALL-4,MHH-CALL-4,MHH-CALL-4,NA,NA,NA,NA,MHH-CALL-4,MHH-CALL-4,NA,NA,MHHCALL4,NA,MHH-CALL-4,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
MHH-ES-1,MHH-ES-1,MHH-ES-1,NA,NA,MHH-ES-1,NA,NA,MHH-ES-1,MHH-ES-1,NA,MHHES1,MHH-ES-1,MHH-ES-1,bone,bone,NA,NA,Bone,NA,NA,bone,bone ,NA,bone,bone,bone,Bone,bone
MHH-NB-11,MHH-NB-11,MHH-NB-11,NA,NA,MHH-NB-11,NA,MHH-NB-11,MHH-NB-11,MHH-NB-11,NA,MHHNB11,NA,MHH-NB-11,autonomic_ganglia,autonomic_ganglia,NA,NA,Brain,NA,autonomic_ganglia,autonomic_ganglia,nervous_system ,NA,autonomic_ganglia,autonomic_ganglia,autonomic_ganglia,NA,autonomic_ganglia
MHH-PREB-1,MHH-PREB-1,NA,MHHPREB1,NA,MHH-PREB-1,NA,MHH-PREB-1,NA,MHH-PREB-1,NA,NA,MHH-PREB-1,MHH-PREB-1,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,Lymph Node,NA,Blood,NA,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,Lymphoid,haematopoietic_and_lymphoid_tissue
MIA-PaCa-2,MIA-PaCa-2,MIA PaCa-2,MIAPACA2,NA,MIA Paca-2,NA,MIA-PaCa-2,MIA_PaCa-2,MIA-PaCa-2,NA,MIAPACA2,MIA Paca-2,MIA-PaCa-2,pancreas,pancreas,pancreas,NA,Pancreas,NA,Pancreas,pancreas,pancreas ,NA,pancreas,pancreas,pancreas,Pancreas,pancreas
Mino,NA,Mino,NA,NA,NA,NA,NA,Mino,NA,NA,MINO,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA
MJ,MJ,MJ,MJ,NA,NA,NA,NA,MJ,NA,NA,MJ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA
MKL-1-subclone-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MKL-1-subclone-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA
MKL-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MKL-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA
MKN1,MKN1,MKN1,NA,NA,MKN-1,NA,MKN1,MKN1,MKN1,NA,MKN1,MKN-1,MKN1,stomach,stomach,NA,NA,Stomach,NA,Stomach,stomach,digestive_system ,NA,stomach,stomach,stomach,Stomach,stomach
MKN28,MKN28,NA,NA,NA,NA,NA,MKN28,NA,MKN28,NA,NA,NA,MKN28,stomach,NA,NA,NA,NA,NA,Stomach,NA,digestive_system ,NA,stomach,stomach,NA,NA,stomach
MKN45,MKN45,MKN-45,NA,NA,MKN-45,NA,MKN45,MKN-45,MKN45,NA,MKN45,MKN-45,MKN45,stomach,stomach,NA,NA,Stomach,NA,Stomach,stomach,digestive_system ,NA,stomach,stomach,stomach,Stomach,stomach
MKN7,MKN7,MKN7,NA,NA,MKN-7,MKN7,MKN7,MKN7,MKN7,NA,MKN7,NA,MKN7,stomach,stomach,NA,NA,Stomach,STOMACH,Stomach,stomach,digestive_system ,NA,stomach,stomach,stomach,NA,stomach
MKN74,NA,MKN74,NA,NA,MKN-74,MKN74,NA,MKN74,NA,NA,MKN74,MKN-74,NA,NA,stomach,NA,NA,Stomach,STOMACH,NA,stomach,NA,NA,stomach,stomach,stomach,Stomach,NA
ML-1,NA,ML-1,NA,NA,NA,NA,ML-1,ML-1,ML-1,NA,ML1,NA,ML-1,NA,thyroid,NA,NA,NA,NA,Thyroid,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,thyroid,NA,haematopoietic_and_lymphoid_tissue
ML-2,ML-2,NA,ML2,NA,ML-2,NA,ML-2,NA,ML-2,NA,NA,ML-2,ML-2,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,Bone Marrow,NA,Blood,NA,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,Bone Marrow,haematopoietic_and_lymphoid_tissue
